GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
NME5,x,8,2,1,0.753,0.858,1.17,0.0129429063924629,0.0532565445026178,0.267684210526316,0.701427518471926,0.8510837696335078,1.0
IPMK,x,8,4,1,0.632,0.8225,1.278,0.0131173575207983,0.0536806282722513,0.26805228758169897,0.227520892258008,0.467973821989529,1.0
CDK10,x,8,2,0,0.767,0.8640000000000001,1.051,0.0137614840612307,0.0555811518324607,0.27574025974026,1.0,1.0,1.0
SNRK,x,8,2,0,0.746,0.915,0.993,0.0156604259115422,0.062455497382199,0.30784516129032297,1.0,1.0,1.0
PAK1,x,8,1,1,0.818,0.8615,1.3,0.0159960106211893,0.0633350785340314,0.310179487179487,0.15584152002068202,0.3714712041884821,0.9748493150684928
PRKAG1,x,8,3,0,0.767,0.8845,1.015,0.0169020958666866,0.0667277486910995,0.324713375796178,1.0,1.0,1.0
NPR1,x,8,1,0,0.605,0.9145,1.033,0.0179859755516777,0.0704083769633508,0.340455696202532,1.0,1.0,1.0
CAMK2B,x,8,1,0,0.8109999999999999,0.8690000000000001,1.027,0.0184517664680381,0.0715968586387435,0.344025157232704,1.0,1.0,1.0
LIMK2,x,8,3,0,0.711,0.8605,0.977,0.0200140492370112,0.0763193717277487,0.364425,1.0,1.0,1.0
MAP3K11,x,8,4,0,0.607,0.8515,1.087,0.0235545152359683,0.0870261780104712,0.41296894409937895,0.950950041850856,0.9604031413612572,1.0
GCK,x,8,2,0,0.7190000000000001,0.88,1.055,0.0271495101022422,0.097,0.457456790123457,1.0,1.0,1.0
PIP5KL1,x,8,3,1,0.53,0.8885,1.241,0.0278975936759487,0.0986230366492147,0.462257668711656,0.384350559847154,0.636837696335079,1.0
PDK1,x,8,0,0,0.865,0.8885,1.043,0.0307927068691868,0.106916230366492,0.4980731707317071,1.0,1.0,1.0
MAP4K2,x,8,3,0,0.7440000000000001,0.882,1.105,0.0325269284444998,0.111031413612565,0.514109090909091,0.919769022440194,0.9490732984293192,1.0
CSNK1D,x,8,4,0,0.625,0.8590000000000001,1.093,0.0339914921697554,0.115078534031414,0.529638554216868,0.9426486661501792,0.956785340314136,1.0
JAK3,x,8,1,0,0.8220000000000001,0.9055,1.182,0.0364722115017908,0.121507853403141,0.553738095238095,0.46320699231924,0.6992565445026179,1.0
CHUK,x,8,3,0,0.7240000000000001,0.879,1.071,0.0366549530590724,0.121764397905759,0.553738095238095,0.969292487869618,0.970078534031414,1.0
MAPK6,x,8,3,0,0.517,0.8675,1.166,0.0383600944131049,0.126664921465969,0.572611764705882,0.7150302877803599,0.8576753926701569,1.0
DGKQ,x,8,1,0,0.795,0.894,0.991,0.0387074613488739,0.127413612565445,0.572611764705882,1.0,1.0,1.0
GRK2,x,8,1,0,0.774,0.9085,1.189,0.0400544465258615,0.130581151832461,0.5834152046783629,0.370530188190101,0.62386387434555,1.0
MAP2K3,x,8,3,0,0.7070000000000001,0.8815,1.232,0.0449191825219348,0.143575916230367,0.6377441860465121,0.421299824847579,0.667387434554974,1.0
ATMIN,x,8,3,0,0.613,0.8955,1.0590000000000002,0.0456206512491529,0.145424083769634,0.642219653179191,1.0,1.0,1.0
RPS6KA4,x,8,3,0,0.698,0.8875,1.079,0.0471700153357194,0.14884293193717302,0.653540229885057,0.961132244223698,0.96565445026178,1.0
