GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
UBQLN1,x,4,0,1,0.988,1.1555,2.377,1.0,1.0,1.0,0.0164271771710531,0.05073,0.7062547965116279
UBQLN2,x,4,0,1,1.3,1.5475,1.841,1.0,1.0,1.0,0.0018610573061119,0.00659,0.5350600418410042
UBQLN3,n,4,0,0,1.29,1.473,1.547,1.0,1.0,1.0,0.00213102217222911,0.0076700000000000015,0.5581334935897436
UBR3,x,4,0,0,0.894,0.9245,1.253,1.0,1.0,1.0,0.674508483209406,0.70417,1.0
UBTD2,x,4,0,0,0.923,1.0585,1.33,1.0,1.0,1.0,0.5611206412945899,0.6398699999999999,1.0
UBTFL1,x,4,0,1,0.902,1.5135,2.064,1.0,1.0,1.0,0.008189672864477509,0.02753,0.6561545511221945
UBXN2B,x,4,0,0,1.037,1.1375,1.331,1.0,1.0,1.0,0.5594191685951021,0.6390100000000001,1.0
UBXN4,x,4,0,0,0.988,1.045,1.29,1.0,1.0,1.0,0.619962565751361,0.67125,1.0
UCHL1,x,4,0,2,0.959,1.304,2.287,1.0,1.0,1.0,0.0196383228740641,0.05812000000000001,0.737329097544791
UCK1,x,4,0,0,0.965,1.0525,1.171,1.0,1.0,1.0,0.788464566009109,0.78798,1.0
UCMA,x,4,0,0,0.978,1.0935,1.244,1.0,1.0,1.0,0.687487250320518,0.71326,1.0
UCP1,x,4,0,0,0.992,1.256,1.324,1.0,1.0,1.0,0.0692840259056922,0.15750999999999998,0.9144479464285716
UCP3,x,4,0,0,0.928,1.1805,1.388,1.0,1.0,1.0,0.29511551537458697,0.43523,1.0
UEVLD,x,4,0,0,0.973,1.2055,1.286,1.0,1.0,1.0,0.0876138288556932,0.19171,0.9430324563622564
UGCG,x,4,0,1,0.928,1.192,1.536,1.0,1.0,1.0,0.13208197440741698,0.26204,0.9818800194174756
UGDH,x,4,0,1,1.21,1.5805,2.96,1.0,1.0,1.0,0.0046922554758434,0.016059999999999998,0.5845259813084112
UGGT1,x,4,0,1,0.925,1.3145,1.803,1.0,1.0,1.0,0.0319283943711965,0.08349,0.8088754941713127
UGGT2,x,4,0,0,1.055,1.1415,1.429,1.0,1.0,1.0,0.3752756860906951,0.5182100000000001,1.0
UGT1A1,x,4,0,1,1.221,1.3635,1.487,1.0,1.0,1.0,0.00564489837953949,0.01914,0.6086864600326264
UGT1A4,x,4,0,1,0.943,1.062,1.66,1.0,1.0,1.0,0.184301774972924,0.32031,0.9976292555790846
UGT1A5,x,4,0,0,0.882,1.1535,1.283,1.0,1.0,1.0,0.285802589720941,0.4255100000000001,1.0
UGT2B10,x,4,0,0,0.945,1.1465,1.37,1.0,1.0,1.0,0.17290616954417906,0.30878,0.9931055835856037
UGT2B15,x,4,0,0,0.989,1.2885,1.3019999999999998,1.0,1.0,1.0,0.036126529052838,0.09211,0.8289466337099811
UGT2B17,x,4,0,0,1.194,1.2885,1.3130000000000002,1.0,1.0,1.0,0.008011939599663809,0.02696,0.6561545511221945
UGT2B7,x,4,0,0,0.909,1.05,1.3630000000000002,1.0,1.0,1.0,0.409090949176261,0.5485399999999999,1.0
UHRF1BP1,x,4,0,0,0.93,1.0045,1.305,1.0,1.0,1.0,0.598052440278487,0.6592600000000001,1.0
