GeneSymbol,Type,TotalGuides,HitsDown,HitsUp,MinFoldChange,MedianFoldChange,MaxFoldChange,rhoDepleted,pvalueDepleted,fdrDepleted,rhoEnriched,pvalueEnriched,fdrEnriched
TUBGCP5,x,4,3,0,0.34700000000000003,0.563,0.765,0.0017831658557036602,0.00615,0.08402948534667619,1.0,1.0,1.0
PGAM1,p,4,3,0,0.192,0.4455,1.073,0.00178528240932944,0.00615,0.08402948534667619,0.883029136183894,0.83988,1.0
SLC25A46,x,4,4,0,0.603,0.6579999999999999,0.765,0.0017858567493737301,0.00615,0.08402948534667619,1.0,1.0,1.0
BRIX1,x,4,2,0,0.101,0.467,0.8590000000000001,0.0017866304790300602,0.0061600000000000005,0.0840459671663098,1.0,1.0,1.0
ATF3,x,4,3,0,0.565,0.6709999999999999,0.765,0.00178989879880795,0.0061600000000000005,0.0840459671663098,1.0,1.0,1.0
C19orf53,x,4,3,0,0.237,0.426,1.112,0.0017974706542771399,0.00618,0.08413867521367521,0.8347901269855459,0.8216,1.0
PHF7,x,4,1,0,0.66,0.685,0.765,0.0017984545437348,0.00618,0.08413867521367521,1.0,1.0,1.0
ATP13A1,x,4,3,0,0.44,0.54,0.7659999999999999,0.0018025179533926,0.00618,0.08413867521367521,1.0,1.0,1.0
LSM5,x,4,3,0,0.03,0.4,1.119,0.001806672614926889,0.00625,0.0850311387900356,0.8240012033282441,0.8153699999999999,1.0
EXOSC10,x,4,3,0,0.134,0.416,0.828,0.00181021272249035,0.00626,0.08504612651030562,1.0,1.0,1.0
MCM10,x,4,3,0,0.219,0.3925,1.119,0.00181058954681167,0.00626,0.08504612651030562,0.825023584292683,0.81599,1.0
TAF1,x,4,3,0,0.317,0.4545,0.831,0.0018149763399933601,0.00628,0.08525724431818181,1.0,1.0,1.0
CD2BP2,x,4,4,0,0.544,0.625,0.7659999999999999,0.00181747605825855,0.00629,0.08533239886444285,1.0,1.0,1.0
CSNK1A1,x,4,3,0,0.28,0.451,0.863,0.0018211294817547304,0.0063100000000000005,0.08542184844192635,1.0,1.0,1.0
UQCRFS1,p,4,3,0,0.316,0.4505,1.2919999999999998,0.0018220096104349,0.0063100000000000005,0.08542184844192635,0.505546312206323,0.62571,1.0
NARS2,x,4,3,0,0.29,0.4745,1.137,0.0018255328978074301,0.0063100000000000005,0.08542184844192635,0.7971253507268721,0.79697,1.0
RRP1,p,4,1,0,0.34700000000000003,0.6635,0.7659999999999999,0.00182841301114898,0.00632,0.08549667374380751,1.0,1.0,1.0
IQGAP3,x,4,3,0,0.344,0.5785,0.767,0.00183298461289735,0.00633,0.08557139321074965,1.0,1.0,1.0
INTS4,x,4,3,0,0.122,0.4965,0.767,0.00184307230928903,0.00639,0.08632144876325087,1.0,1.0,1.0
RFK,p,4,3,0,0.14400000000000002,0.4715,1.019,0.0018529890483904602,0.00642,0.08666546610169491,1.0,1.0,1.0
HIST2H3A,x,4,2,0,0.03,0.6165,1.223,0.00185825583436126,0.00645,0.08700899788285109,0.64627750088706,0.6987399999999999,1.0
C1orf100,x,4,3,0,0.418,0.6075,0.767,0.00185828185295959,0.00646,0.08708244005641748,1.0,1.0,1.0
FTH1,x,4,3,0,0.226,0.4270000000000001,0.8390000000000001,0.0018636890519166801,0.00647,0.08715577871740662,1.0,1.0,1.0
UROS,x,4,3,0,0.422,0.488,0.8759999999999999,0.00188071294041965,0.006520000000000001,0.08770570021111894,1.0,1.0,1.0
GLRX3,x,4,3,0,0.3720000000000001,0.454,1.082,0.00188610987957974,0.006520000000000001,0.08770570021111894,1.0,1.0,1.0
RTTN,x,4,3,1,0.35200000000000004,0.431,1.873,0.00188881212950813,0.006540000000000001,0.08791286919831225,0.010598386181469,0.03633,0.6909558073654392
