partner_a,partner_b
DDC,HTR2C
DDC,HTR3A
DDC,HTR3B
DDC,HTR3C
DDC,HTR3D
DDC,HTR3E
DDC,HTR4
DDC,HTR5A
DDC,HTR6
DDC,HTR7
DDC,DRD1
DDC,DRD2
DDC,DRD3
DDC,DRD4
DDC,DRD5
TBXAS1,TBXA2R
GPHB5,TSHR
GPHA2,TSHR
CGA,TSHR
TPH1,HTR1A
SLC6A4,HTR1A
TPH1,HTR1B
SLC6A4,HTR1B
TPH1,HTR1D
SLC6A4,HTR1D
TPH1,HTR1E
SLC6A4,HTR1E
TPH1,HTR1F
SLC6A4,HTR1F
TPH1,HTR2A
SLC6A4,HTR2A
TPH1,HTR2B
SLC6A4,HTR2B
TPH1,HTR2C
SLC6A4,HTR2C
TPH1,HTR4
SLC6A4,HTR4
TPH1,HTR5A
SLC6A4,HTR5A
TPH1,HTR6
SLC6A4,HTR6
TPH1,HTR7
SLC6A4,HTR7
SLC18A1,HTR1A
SLC18A1,HTR1B
SLC18A1,HTR1D
SLC18A1,HTR1E
SLC18A1,HTR1F
SLC18A1,HTR2A
SLC18A1,HTR2B
SLC18A1,HTR2C
SLC18A1,HTR4
SLC18A1,HTR5A
SLC18A1,HTR6
SLC18A1,HTR7
SLC18A2,HTR1A
SLC18A2,HTR1B
SLC18A2,HTR1D
SLC18A2,HTR1E
SLC18A2,HTR1F
SLC18A2,HTR2A
SLC18A2,HTR2B
SLC18A2,HTR2C
SLC18A2,HTR4
SLC18A2,HTR5A
SLC18A2,HTR6
SLC18A2,HTR7
TPH2,HTR1A
TPH2,HTR1B
TPH2,HTR1D
TPH2,HTR1E
TPH2,HTR1F
TPH2,HTR2A
TPH2,HTR2B
TPH2,HTR2C
TPH2,HTR4
TPH2,HTR5A
TPH2,HTR6
TPH2,HTR7
SLC10A4,CHRM1
SLC10A4,CHRM2
SLC10A4,CHRM3
SLC10A4,CHRM4
SLC10A4,CHRM5
SLC18A3,CHRM1
SLC18A3,CHRM2
SLC18A3,CHRM3
SLC18A3,CHRM4
SLC18A3,CHRM5
SLC5A7,CHRM1
SLC5A7,CHRM2
SLC5A7,CHRM3
SLC5A7,CHRM4
SLC5A7,CHRM5
SLC29A1,ADORA1
NT5E,ADORA1
SLC29A1,ADORA2A
NT5E,ADORA2A
SLC29A1,ADORA2B
NT5E,ADORA2B
SLC29A1,ADORA3
NT5E,ADORA3
SLC29A2,ADORA1
SLC29A2,ADORA2A
SLC29A2,ADORA2B
SLC29A2,ADORA3
SLC29A3,ADORA1
SLC29A3,ADORA2A
SLC29A3,ADORA2B
SLC29A3,ADORA3
SLC29A4,ADORA1
SLC29A4,ADORA2A
SLC29A4,ADORA2B
SLC29A4,ADORA3
SLC18A1,ADRA1A
SLC18A1,ADRA1B
SLC18A1,ADRA1D
SLC18A1,ADRA2A
SLC18A1,ADRA2B
SLC18A1,ADRA2C
SLC18A1,ADRB1
SLC18A1,ADRB2
SLC18A1,ADRB3
SLC18A2,ADRA1A
SLC18A2,ADRA1B
SLC18A2,ADRA1D
SLC18A2,ADRA2A
SLC18A2,ADRA2B
SLC18A2,ADRA2C
SLC18A2,ADRB1
SLC18A2,ADRB2
SLC18A2,ADRB3
DDC,TAAR1
SLC6A3,DRD1
SLC6A3,DRD2
SLC6A3,DRD3
SLC6A3,DRD4
SLC6A3,DRD5
SLC18A1,DRD1
SLC18A1,DRD2
SLC18A1,DRD3
SLC18A1,DRD4
