Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloWholeGenome,GuideID.1,GeneSymbol.1
,,,,,,,KRTAP21-3-4,KRTAP21-3
,,,,,,,KRTAP22-1-1,KRTAP22-1
,,,,,,,KRTAP22-1-2,KRTAP22-1
,,,,,,,KRTAP22-1-3,KRTAP22-1
,,,,,,,KRTAP22-1-4,KRTAP22-1
,,,,,,,KRTAP22-2-1,KRTAP22-2
,,,,,,,KRTAP22-2-2,KRTAP22-2
,,,,,,,KRTAP22-2-3,KRTAP22-2
,,,,,,,KRTAP22-2-4,KRTAP22-2
,,,,,,,KRTAP23-1-1,KRTAP23-1
,,,,,,,KRTAP23-1-2,KRTAP23-1
,,,,,,,KRTAP23-1-3,KRTAP23-1
,,,,,,,KRTAP23-1-4,KRTAP23-1
,,,,,,,KRTAP24-1-1,KRTAP24-1
,,,,,,,KRTAP24-1-2,KRTAP24-1
,,,,,,,KRTAP24-1-3,KRTAP24-1
,,,,,,,KRTAP24-1-4,KRTAP24-1
,,,,,,,KRTAP25-1-1,KRTAP25-1
,,,,,,,KRTAP25-1-2,KRTAP25-1
,,,,,,,KRTAP25-1-3,KRTAP25-1
,,,,,,,KRTAP25-1-4,KRTAP25-1
,,,,,,,KRTAP26-1-1,KRTAP26-1
,,,,,,,KRTAP26-1-2,KRTAP26-1
,,,,,,,KRTAP26-1-3,KRTAP26-1
,,,,,,,KRTAP26-1-4,KRTAP26-1
,,,,,,,KRTAP27-1-1,KRTAP27-1
,,,,,,,KRTAP27-1-2,KRTAP27-1
,,,,,,,KRTAP27-1-3,KRTAP27-1
,,,,,,,KRTAP27-1-4,KRTAP27-1
,,,,,,,KRTAP29-1-1,KRTAP29-1
,,,,,,,KRTAP29-1-2,KRTAP29-1
,,,,,,,KRTAP29-1-3,KRTAP29-1
,,,,,,,KRTAP29-1-4,KRTAP29-1
,,,,,,,KRTAP3-1-1,KRTAP3-1
,,,,,,,KRTAP3-1-2,KRTAP3-1
,,,,,,,KRTAP3-1-3,KRTAP3-1
,,,,,,,KRTAP3-1-4,KRTAP3-1
,,,,,,,KRTAP3-2-1,KRTAP3-2
,,,,,,,KRTAP3-2-2,KRTAP3-2
,,,,,,,KRTAP3-2-3,KRTAP3-2
,,,,,,,KRTAP3-2-4,KRTAP3-2
,,,,,,,KRTAP3-3-1,KRTAP3-3
,,,,,,,KRTAP3-3-2,KRTAP3-3
,,,,,,,KRTAP3-3-3,KRTAP3-3
,,,,,,,KRTAP3-3-4,KRTAP3-3
,,,,,,,KRTAP4-11-1,KRTAP4-11
,,,,,,,KRTAP4-11-2,KRTAP4-11
,,,,,,,KRTAP4-11-3,KRTAP4-11
,,,,,,,KRTAP4-11-4,KRTAP4-11
,,,,,,,KRTAP4-12-1,KRTAP4-12
,,,,,,,KRTAP4-12-2,KRTAP4-12
,,,,,,,KRTAP4-12-3,KRTAP4-12
,,,,,,,KRTAP4-12-4,KRTAP4-12
,,,,,,,KRTAP4-2-1,KRTAP4-2
,,,,,,,KRTAP4-2-2,KRTAP4-2
,,,,,,,KRTAP4-2-3,KRTAP4-2
,,,,,,,KRTAP4-2-4,KRTAP4-2
,,,,,,,KRTAP4-3-1,KRTAP4-3
,,,,,,,KRTAP4-3-2,KRTAP4-3
,,,,,,,KRTAP4-3-3,KRTAP4-3
,,,,,,,KRTAP4-3-4,KRTAP4-3
,,,,,,,KRTAP4-4-1,KRTAP4-4
,,,,,,,KRTAP4-4-2,KRTAP4-4
,,,,,,,KRTAP4-4-3,KRTAP4-4
,,,,,,,KRTAP4-4-4,KRTAP4-4
,,,,,,,KRTAP4-5-1,KRTAP4-5
,,,,,,,KRTAP4-5-2,KRTAP4-5
,,,,,,,KRTAP4-5-3,KRTAP4-5
,,,,,,,KRTAP4-5-4,KRTAP4-5
,,,,,,,KRTAP4-6-1,KRTAP4-6
,,,,,,,KRTAP4-6-2,KRTAP4-6
,,,,,,,KRTAP4-6-3,KRTAP4-6
,,,,,,,KRTAP4-6-4,KRTAP4-6
,,,,,,,KRTAP4-7-1,KRTAP4-7
,,,,,,,KRTAP4-7-2,KRTAP4-7
,,,,,,,KRTAP4-7-3,KRTAP4-7
,,,,,,,KRTAP4-7-4,KRTAP4-7
,,,,,,,KRTAP4-8-1,KRTAP4-8
,,,,,,,KRTAP4-8-2,KRTAP4-8
,,,,,,,KRTAP4-8-3,KRTAP4-8
,,,,,,,KRTAP4-8-4,KRTAP4-8
,,,,,,,KRTAP4-9-1,KRTAP4-9
,,,,,,,KRTAP4-9-2,KRTAP4-9
,,,,,,,KRTAP4-9-3,KRTAP4-9
,,,,,,,KRTAP4-9-4,KRTAP4-9
,,,,,,,KRTAP5-1-1,KRTAP5-1
,,,,,,,KRTAP5-1-2,KRTAP5-1
,,,,,,,KRTAP5-1-3,KRTAP5-1
,,,,,,,KRTAP5-1-4,KRTAP5-1
,,,,,,,KRTAP5-10-1,KRTAP5-10
,,,,,,,KRTAP5-10-2,KRTAP5-10
,,,,,,,KRTAP5-10-3,KRTAP5-10
,,,,,,,KRTAP5-10-4,KRTAP5-10
,,,,,,,KRTAP5-11-1,KRTAP5-11
,,,,,,,KRTAP5-11-2,KRTAP5-11
,,,,,,,KRTAP5-11-3,KRTAP5-11
,,,,,,,KRTAP5-11-4,KRTAP5-11
,,,,,,,KRTAP5-2-1,KRTAP5-2
,,,,,,,KRTAP5-2-2,KRTAP5-2
,,,,,,,KRTAP5-2-3,KRTAP5-2
,,,,,,,KRTAP5-2-4,KRTAP5-2
,,,,,,,KRTAP5-3-1,KRTAP5-3
,,,,,,,KRTAP5-3-2,KRTAP5-3
,,,,,,,KRTAP5-3-3,KRTAP5-3
,,,,,,,KRTAP5-3-4,KRTAP5-3
,,,,,,,KRTAP5-5-1,KRTAP5-5
,,,,,,,KRTAP5-5-2,KRTAP5-5
,,,,,,,KRTAP5-5-3,KRTAP5-5
,,,,,,,KRTAP5-5-4,KRTAP5-5
,,,,,,,KRTAP5-6-1,KRTAP5-6
,,,,,,,KRTAP5-6-2,KRTAP5-6
,,,,,,,KRTAP5-6-3,KRTAP5-6
,,,,,,,KRTAP5-6-4,KRTAP5-6
,,,,,,,KRTAP5-7-1,KRTAP5-7
,,,,,,,KRTAP5-7-2,KRTAP5-7
,,,,,,,KRTAP5-7-3,KRTAP5-7
,,,,,,,KRTAP5-7-4,KRTAP5-7
,,,,,,,KRTAP5-8-1,KRTAP5-8
,,,,,,,KRTAP5-8-2,KRTAP5-8
,,,,,,,KRTAP5-8-3,KRTAP5-8
,,,,,,,KRTAP5-8-4,KRTAP5-8
,,,,,,,KRTAP5-9-1,KRTAP5-9
,,,,,,,KRTAP5-9-2,KRTAP5-9
,,,,,,,KRTAP5-9-3,KRTAP5-9
,,,,,,,KRTAP5-9-4,KRTAP5-9
,,,,,,,KRTAP6-1-1,KRTAP6-1
,,,,,,,KRTAP6-1-2,KRTAP6-1
,,,,,,,KRTAP6-1-3,KRTAP6-1
,,,,,,,KRTAP6-1-4,KRTAP6-1
,,,,,,,KRTAP6-2-1,KRTAP6-2
,,,,,,,KRTAP6-2-2,KRTAP6-2
,,,,,,,KRTAP6-2-3,KRTAP6-2
,,,,,,,KRTAP6-2-4,KRTAP6-2
,,,,,,,KRTAP6-3-1,KRTAP6-3
,,,,,,,KRTAP6-3-2,KRTAP6-3
,,,,,,,KRTAP6-3-3,KRTAP6-3
,,,,,,,KRTAP6-3-4,KRTAP6-3
,,,,,,,KRTAP7-1-1,KRTAP7-1
,,,,,,,KRTAP7-1-2,KRTAP7-1
,,,,,,,KRTAP7-1-3,KRTAP7-1
,,,,,,,KRTAP7-1-4,KRTAP7-1
,,,,,,,KRTAP8-1-1,KRTAP8-1
,,,,,,,KRTAP8-1-2,KRTAP8-1
,,,,,,,KRTAP8-1-3,KRTAP8-1
,,,,,,,KRTAP8-1-4,KRTAP8-1
,,,,,,,KRTAP9-1-1,KRTAP9-1
,,,,,,,KRTAP9-1-2,KRTAP9-1
,,,,,,,KRTAP9-1-3,KRTAP9-1
,,,,,,,KRTAP9-1-4,KRTAP9-1
,,,,,,,KRTAP9-2-1,KRTAP9-2
,,,,,,,KRTAP9-2-2,KRTAP9-2
,,,,,,,KRTAP9-2-3,KRTAP9-2
,,,,,,,KRTAP9-2-4,KRTAP9-2
,,,,,,,KRTAP9-3-1,KRTAP9-3
,,,,,,,KRTAP9-3-2,KRTAP9-3
,,,,,,,KRTAP9-3-3,KRTAP9-3
,,,,,,,KRTAP9-3-4,KRTAP9-3
,,,,,,,KRTAP9-4-1,KRTAP9-4
,,,,,,,KRTAP9-4-2,KRTAP9-4
,,,,,,,KRTAP9-4-3,KRTAP9-4
,,,,,,,KRTAP9-4-4,KRTAP9-4
,,,,,,,KRTAP9-6-1,KRTAP9-6
,,,,,,,KRTAP9-6-2,KRTAP9-6
,,,,,,,KRTAP9-6-3,KRTAP9-6
,,,,,,,KRTAP9-6-4,KRTAP9-6
,,,,,,,KRTAP9-7-1,KRTAP9-7
,,,,,,,KRTAP9-7-2,KRTAP9-7
,,,,,,,KRTAP9-7-3,KRTAP9-7
,,,,,,,KRTAP9-7-4,KRTAP9-7
,,,,,,,KRTAP9-8-1,KRTAP9-8
,,,,,,,KRTAP9-8-2,KRTAP9-8
,,,,,,,KRTAP9-8-3,KRTAP9-8
,,,,,,,KRTAP9-8-4,KRTAP9-8
,,,,,,,KRTAP9-9-1,KRTAP9-9
,,,,,,,KRTAP9-9-2,KRTAP9-9
,,,,,,,KRTAP9-9-3,KRTAP9-9
,,,,,,,KRTAP9-9-4,KRTAP9-9
,,,,,,,KRTCAP2-1,KRTCAP2
,,,,,,,KRTCAP2-2,KRTCAP2
,,,,,,,KRTCAP2-3,KRTCAP2
,,,,,,,KRTCAP2-4,KRTCAP2
,,,,,,,KRTCAP3-1,KRTCAP3
,,,,,,,KRTCAP3-2,KRTCAP3
,,,,,,,KRTCAP3-3,KRTCAP3
,,,,,,,KRTCAP3-4,KRTCAP3
,,,,,,,KRTDAP-1,KRTDAP
,,,,,,,KRTDAP-2,KRTDAP
,,,,,,,KRTDAP-3,KRTDAP
,,,,,,,KRTDAP-4,KRTDAP
,,,,,,,KSR1-1,KSR1
,,,,,,,KSR1-2,KSR1
,,,,,,,KSR1-3,KSR1
,,,,,,,KSR1-4,KSR1
,,,,,,,KSR2-1,KSR2
,,,,,,,KSR2-2,KSR2
,,,,,,,KSR2-3,KSR2
,,,,,,,KSR2-4,KSR2
,,,,,,,KTI12-1,KTI12
,,,,,,,KTI12-2,KTI12
,,,,,,,KTI12-3,KTI12
,,,,,,,KTI12-4,KTI12
,,,,,,,KTN1-1,KTN1
,,,,,,,KTN1-2,KTN1
,,,,,,,KTN1-3,KTN1
,,,,,,,KTN1-4,KTN1
,,,,,,,KXD1-1,KXD1
,,,,,,,KXD1-2,KXD1
,,,,,,,KXD1-3,KXD1
,,,,,,,KXD1-4,KXD1
,,,,,,,KY-1,KY
,,,,,,,KY-2,KY
,,,,,,,KY-3,KY
,,,,,,,KY-4,KY
,,,,,,,KYNU-1,KYNU
,,,,,,,KYNU-2,KYNU
,,,,,,,KYNU-3,KYNU
,,,,,,,KYNU-4,KYNU
,,,,,,,L1CAM-1,L1CAM
,,,,,,,L1CAM-2,L1CAM
,,,,,,,L1CAM-3,L1CAM
,,,,,,,L1CAM-4,L1CAM
,,,,,,,L1TD1-1,L1TD1
,,,,,,,L1TD1-2,L1TD1
,,,,,,,L1TD1-3,L1TD1
,,,,,,,L1TD1-4,L1TD1
,,,,,,,L2HGDH-1,L2HGDH
,,,,,,,L2HGDH-2,L2HGDH
,,,,,,,L2HGDH-3,L2HGDH
,,,,,,,L2HGDH-4,L2HGDH
,,,,,,,L3HYPDH-1,L3HYPDH
,,,,,,,L3HYPDH-2,L3HYPDH
,,,,,,,L3HYPDH-3,L3HYPDH
,,,,,,,L3HYPDH-4,L3HYPDH
,,,,,,,L3MBTL1-1,L3MBTL1
,,,,,,,L3MBTL1-2,L3MBTL1
,,,,,,,L3MBTL1-3,L3MBTL1
,,,,,,,L3MBTL1-4,L3MBTL1
,,,,,,,L3MBTL2-1,L3MBTL2
,,,,,,,L3MBTL2-2,L3MBTL2
,,,,,,,L3MBTL2-3,L3MBTL2
,,,,,,,L3MBTL2-4,L3MBTL2
,,,,,,,L3MBTL3-1,L3MBTL3
,,,,,,,L3MBTL3-2,L3MBTL3
,,,,,,,L3MBTL3-3,L3MBTL3
,,,,,,,L3MBTL3-4,L3MBTL3
,,,,,,,L3MBTL4-1,L3MBTL4
,,,,,,,L3MBTL4-2,L3MBTL4
,,,,,,,L3MBTL4-3,L3MBTL4
,,,,,,,L3MBTL4-4,L3MBTL4
,,,,,,,LACC1-1,LACC1
,,,,,,,LACC1-2,LACC1
,,,,,,,LACC1-3,LACC1
,,,,,,,LACC1-4,LACC1
,,,,,,,LACE1-1,LACE1
,,,,,,,LACE1-2,LACE1
,,,,,,,LACE1-3,LACE1
,,,,,,,LACE1-4,LACE1
,,,,,,,LACRT-1,LACRT
,,,,,,,LACRT-2,LACRT
,,,,,,,LACRT-3,LACRT
,,,,,,,LACRT-4,LACRT
,,,,,,,LACTB-1,LACTB
,,,,,,,LACTB-2,LACTB
,,,,,,,LACTB-3,LACTB
,,,,,,,LACTB-4,LACTB
,,,,,,,LACTB2-1,LACTB2
,,,,,,,LACTB2-2,LACTB2
,,,,,,,LACTB2-3,LACTB2
,,,,,,,LACTB2-4,LACTB2
,,,,,,,LACTBL1-1,LACTBL1
,,,,,,,LACTBL1-2,LACTBL1
,,,,,,,LACTBL1-3,LACTBL1
,,,,,,,LACTBL1-4,LACTBL1
,,,,,,,LAD1-1,LAD1
,,,,,,,LAD1-2,LAD1
,,,,,,,LAD1-3,LAD1
,,,,,,,LAD1-4,LAD1
,,,,,,,LAG3-1,LAG3
,,,,,,,LAG3-2,LAG3
,,,,,,,LAG3-3,LAG3
,,,,,,,LAG3-4,LAG3
,,,,,,,LAGE3-1,LAGE3
,,,,,,,LAGE3-2,LAGE3
,,,,,,,LAGE3-3,LAGE3
,,,,,,,LAGE3-4,LAGE3
,,,,,,,LAIR1-1,LAIR1
,,,,,,,LAIR1-2,LAIR1
,,,,,,,LAIR1-3,LAIR1
,,,,,,,LAIR1-4,LAIR1
,,,,,,,LAIR2-1,LAIR2
,,,,,,,LAIR2-2,LAIR2
,,,,,,,LAIR2-3,LAIR2
,,,,,,,LAIR2-4,LAIR2
,,,,,,,LALBA-1,LALBA
,,,,,,,LALBA-2,LALBA
,,,,,,,LALBA-3,LALBA
,,,,,,,LALBA-4,LALBA
,,,,,,,LAMA1-1,LAMA1
,,,,,,,LAMA1-2,LAMA1
,,,,,,,LAMA1-3,LAMA1
,,,,,,,LAMA1-4,LAMA1
,,,,,,,LAMA2-1,LAMA2
,,,,,,,LAMA2-2,LAMA2
,,,,,,,LAMA2-3,LAMA2
,,,,,,,LAMA2-4,LAMA2
,,,,,,,LAMA3-1,LAMA3
,,,,,,,LAMA3-2,LAMA3
,,,,,,,LAMA3-3,LAMA3
,,,,,,,LAMA3-4,LAMA3
,,,,,,,LAMA4-1,LAMA4
,,,,,,,LAMA4-2,LAMA4
,,,,,,,LAMA4-3,LAMA4
,,,,,,,LAMA4-4,LAMA4
,,,,,,,LAMA5-1,LAMA5
,,,,,,,LAMA5-2,LAMA5
,,,,,,,LAMA5-3,LAMA5
,,,,,,,LAMA5-4,LAMA5
,,,,,,,LAMB1-1,LAMB1
,,,,,,,LAMB1-2,LAMB1
,,,,,,,LAMB1-3,LAMB1
,,,,,,,LAMB1-4,LAMB1
,,,,,,,LAMB2-1,LAMB2
,,,,,,,LAMB2-2,LAMB2
,,,,,,,LAMB2-3,LAMB2
,,,,,,,LAMB2-4,LAMB2
,,,,,,,LAMB3-1,LAMB3
,,,,,,,LAMB3-2,LAMB3
,,,,,,,LAMB3-3,LAMB3
,,,,,,,LAMB3-4,LAMB3
,,,,,,,LAMB4-1,LAMB4
,,,,,,,LAMB4-2,LAMB4
,,,,,,,LAMB4-3,LAMB4
,,,,,,,LAMB4-4,LAMB4
,,,,,,,LAMC1-1,LAMC1
,,,,,,,LAMC1-2,LAMC1
,,,,,,,LAMC1-3,LAMC1
,,,,,,,LAMC1-4,LAMC1
,,,,,,,LAMC2-1,LAMC2
,,,,,,,LAMC2-2,LAMC2
,,,,,,,LAMC2-3,LAMC2
,,,,,,,LAMC2-4,LAMC2
,,,,,,,LAMC3-1,LAMC3
,,,,,,,LAMC3-2,LAMC3
,,,,,,,LAMC3-3,LAMC3
,,,,,,,LAMC3-4,LAMC3
,,,,,,,LAMP1-1,LAMP1
,,,,,,,LAMP1-2,LAMP1
,,,,,,,LAMP1-3,LAMP1
,,,,,,,LAMP1-4,LAMP1
,,,,,,,LAMP2-1,LAMP2
,,,,,,,LAMP2-2,LAMP2
,,,,,,,LAMP2-3,LAMP2
,,,,,,,LAMP2-4,LAMP2
,,,,,,,LAMP3-1,LAMP3
,,,,,,,LAMP3-2,LAMP3
,,,,,,,LAMP3-3,LAMP3
,,,,,,,LAMP3-4,LAMP3
,,,,,,,LAMP5-1,LAMP5
,,,,,,,LAMP5-2,LAMP5
,,,,,,,LAMP5-3,LAMP5
,,,,,,,LAMP5-4,LAMP5
,,,,,,,LAMTOR1-1,LAMTOR1
,,,,,,,LAMTOR1-2,LAMTOR1
,,,,,,,LAMTOR1-3,LAMTOR1
,,,,,,,LAMTOR1-4,LAMTOR1
,,,,,,,LAMTOR2-1,LAMTOR2
,,,,,,,LAMTOR2-2,LAMTOR2
,,,,,,,LAMTOR2-3,LAMTOR2
,,,,,,,LAMTOR2-4,LAMTOR2
,,,,,,,LAMTOR3-1,LAMTOR3
,,,,,,,LAMTOR3-2,LAMTOR3
,,,,,,,LAMTOR3-3,LAMTOR3
,,,,,,,LAMTOR3-4,LAMTOR3
,,,,,,,LAMTOR4-1,LAMTOR4
,,,,,,,LAMTOR4-2,LAMTOR4
,,,,,,,LAMTOR4-3,LAMTOR4
,,,,,,,LAMTOR4-4,LAMTOR4
,,,,,,,LAMTOR5-1,LAMTOR5
,,,,,,,LAMTOR5-2,LAMTOR5
,,,,,,,LAMTOR5-3,LAMTOR5
,,,,,,,LAMTOR5-4,LAMTOR5
,,,,,,,LANCL1-1,LANCL1
,,,,,,,LANCL1-2,LANCL1
,,,,,,,LANCL1-3,LANCL1
,,,,,,,LANCL1-4,LANCL1
,,,,,,,LANCL2-1,LANCL2
,,,,,,,LANCL2-2,LANCL2
,,,,,,,LANCL2-3,LANCL2
,,,,,,,LANCL2-4,LANCL2
,,,,,,,LANCL3-1,LANCL3
,,,,,,,LANCL3-2,LANCL3
,,,,,,,LANCL3-3,LANCL3
,,,,,,,LANCL3-4,LANCL3
,,,,,,,LAP3-1,LAP3
,,,,,,,LAP3-2,LAP3
,,,,,,,LAP3-3,LAP3
,,,,,,,LAP3-4,LAP3
,,,,,,,LAPTM4A-1,LAPTM4A
,,,,,,,LAPTM4A-2,LAPTM4A
,,,,,,,LAPTM4A-3,LAPTM4A
,,,,,,,LAPTM4A-4,LAPTM4A
,,,,,,,LAPTM4B-1,LAPTM4B
,,,,,,,LAPTM4B-2,LAPTM4B
,,,,,,,LAPTM4B-3,LAPTM4B
,,,,,,,LAPTM4B-4,LAPTM4B
,,,,,,,LAPTM5-1,LAPTM5
,,,,,,,LAPTM5-2,LAPTM5
,,,,,,,LAPTM5-3,LAPTM5
,,,,,,,LAPTM5-4,LAPTM5
,,,,,,,LARGE-1,LARGE
,,,,,,,LARGE-2,LARGE
,,,,,,,LARGE-3,LARGE
,,,,,,,LARGE-4,LARGE
,,,,,,,LARP1-1,LARP1
,,,,,,,LARP1-2,LARP1
,,,,,,,LARP1-3,LARP1
,,,,,,,LARP1-4,LARP1
,,,,,,,LARP1B-1,LARP1B
,,,,,,,LARP1B-2,LARP1B
,,,,,,,LARP1B-3,LARP1B
,,,,,,,LARP1B-4,LARP1B
,,,,,,,LARP4-1,LARP4
,,,,,,,LARP4-2,LARP4
,,,,,,,LARP4-3,LARP4
,,,,,,,LARP4-4,LARP4
,,,,,,,LARP4B-1,LARP4B
,,,,,,,LARP4B-2,LARP4B
,,,,,,,LARP4B-3,LARP4B
,,,,,,,LARP4B-4,LARP4B
,,,,,,,LARP6-1,LARP6
,,,,,,,LARP6-2,LARP6
,,,,,,,LARP6-3,LARP6
,,,,,,,LARP6-4,LARP6
,,,,,,,LARP7-1,LARP7
,,,,,,,LARP7-2,LARP7
,,,,,,,LARP7-3,LARP7
,,,,,,,LARP7-4,LARP7
,,,,,,,LARS-1,LARS
,,,,,,,LARS-2,LARS
,,,,,,,LARS-3,LARS
,,,,,,,LARS-4,LARS
,,,,,,,LARS2-1,LARS2
,,,,,,,LARS2-2,LARS2
,,,,,,,LARS2-3,LARS2
,,,,,,,LARS2-4,LARS2
,,,,,,,LAS1L-1,LAS1L
,,,,,,,LAS1L-2,LAS1L
,,,,,,,LAS1L-3,LAS1L
,,,,,,,LAS1L-4,LAS1L
,,,,,,,LASP1-1,LASP1
,,,,,,,LASP1-2,LASP1
,,,,,,,LASP1-3,LASP1
,,,,,,,LASP1-4,LASP1
,,,,,,,LAT-1,LAT
,,,,,,,LAT-2,LAT
,,,,,,,LAT-3,LAT
,,,,,,,LAT-4,LAT
,,,,,,,LAT2-1,LAT2
,,,,,,,LAT2-2,LAT2
,,,,,,,LAT2-3,LAT2
,,,,,,,LAT2-4,LAT2
,,,,,,,LATS1-1,LATS1
,,,,,,,LATS1-2,LATS1
,,,,,,,LATS1-3,LATS1
,,,,,,,LATS1-4,LATS1
,,,,,,,LATS2-1,LATS2
,,,,,,,LATS2-2,LATS2
,,,,,,,LATS2-3,LATS2
,,,,,,,LATS2-4,LATS2
,,,,,,,LAX1-1,LAX1
,,,,,,,LAX1-2,LAX1
,,,,,,,LAX1-3,LAX1
,,,,,,,LAX1-4,LAX1
,,,,,,,LAYN-1,LAYN
,,,,,,,LAYN-2,LAYN
,,,,,,,LAYN-3,LAYN
,,,,,,,LAYN-4,LAYN
,,,,,,,LBH-1,LBH
,,,,,,,LBH-2,LBH
,,,,,,,LBH-3,LBH
,,,,,,,LBH-4,LBH
,,,,,,,LBHD1-1,LBHD1
,,,,,,,LBHD1-2,LBHD1
,,,,,,,LBHD1-3,LBHD1
,,,,,,,LBHD1-4,LBHD1
,,,,,,,LBP-1,LBP
,,,,,,,LBP-2,LBP
,,,,,,,LBP-3,LBP
,,,,,,,LBP-4,LBP
,,,,,,,LBR-1,LBR
,,,,,,,LBR-2,LBR
,,,,,,,LBR-3,LBR
,,,,,,,LBR-4,LBR
,,,,,,,LBX1-1,LBX1
,,,,,,,LBX1-2,LBX1
,,,,,,,LBX1-3,LBX1
,,,,,,,LBX1-4,LBX1
,,,,,,,LBX2-1,LBX2
,,,,,,,LBX2-2,LBX2
,,,,,,,LBX2-3,LBX2
,,,,,,,LBX2-4,LBX2
,,,,,,,LCA5-1,LCA5
,,,,,,,LCA5-2,LCA5
,,,,,,,LCA5-3,LCA5
,,,,,,,LCA5-4,LCA5
,,,,,,,LCA5L-1,LCA5L
,,,,,,,LCA5L-2,LCA5L
,,,,,,,LCA5L-3,LCA5L
,,,,,,,LCA5L-4,LCA5L
,,,,,,,LCAT-1,LCAT
,,,,,,,LCAT-2,LCAT
,,,,,,,LCAT-3,LCAT
,,,,,,,LCAT-4,LCAT
,,,,,,,LCE1A-1,LCE1A
,,,,,,,LCE1A-2,LCE1A
,,,,,,,LCE1A-3,LCE1A
,,,,,,,LCE1A-4,LCE1A
,,,,,,,LCE1B-1,LCE1B
,,,,,,,LCE1B-2,LCE1B
,,,,,,,LCE1B-3,LCE1B
,,,,,,,LCE1B-4,LCE1B
,,,,,,,LCE1C-1,LCE1C
,,,,,,,LCE1C-2,LCE1C
,,,,,,,LCE1C-3,LCE1C
,,,,,,,LCE1C-4,LCE1C
,,,,,,,LCE1D-1,LCE1D
,,,,,,,LCE1D-2,LCE1D
,,,,,,,LCE1D-3,LCE1D
,,,,,,,LCE1D-4,LCE1D
,,,,,,,LCE1E-1,LCE1E
,,,,,,,LCE1E-2,LCE1E
,,,,,,,LCE1E-3,LCE1E
,,,,,,,LCE1E-4,LCE1E
,,,,,,,LCE1F-1,LCE1F
,,,,,,,LCE1F-2,LCE1F
,,,,,,,LCE1F-3,LCE1F
,,,,,,,LCE1F-4,LCE1F
,,,,,,,LCE2A-1,LCE2A
,,,,,,,LCE2A-2,LCE2A
,,,,,,,LCE2A-3,LCE2A
,,,,,,,LCE2A-4,LCE2A
,,,,,,,LCE2B-1,LCE2B
,,,,,,,LCE2B-2,LCE2B
,,,,,,,LCE2B-3,LCE2B
,,,,,,,LCE2B-4,LCE2B
,,,,,,,LCE2C-1,LCE2C
,,,,,,,LCE2C-2,LCE2C
,,,,,,,LCE2C-3,LCE2C
,,,,,,,LCE2C-4,LCE2C
,,,,,,,LCE2D-1,LCE2D
,,,,,,,LCE2D-2,LCE2D
,,,,,,,LCE2D-3,LCE2D
,,,,,,,LCE2D-4,LCE2D
,,,,,,,LCE3A-1,LCE3A
,,,,,,,LCE3A-2,LCE3A
,,,,,,,LCE3A-3,LCE3A
,,,,,,,LCE3A-4,LCE3A
,,,,,,,LCE3B-1,LCE3B
,,,,,,,LCE3B-2,LCE3B
,,,,,,,LCE3B-3,LCE3B
,,,,,,,LCE3B-4,LCE3B
,,,,,,,LCE3C-1,LCE3C
,,,,,,,LCE3C-2,LCE3C
,,,,,,,LCE3C-3,LCE3C
,,,,,,,LCE3C-4,LCE3C
,,,,,,,LCE3D-1,LCE3D
,,,,,,,LCE3D-2,LCE3D
,,,,,,,LCE3D-3,LCE3D
,,,,,,,LCE3D-4,LCE3D
,,,,,,,LCE3E-1,LCE3E
,,,,,,,LCE3E-2,LCE3E
,,,,,,,LCE3E-3,LCE3E
,,,,,,,LCE3E-4,LCE3E
,,,,,,,LCE4A-1,LCE4A
,,,,,,,LCE4A-2,LCE4A
,,,,,,,LCE4A-3,LCE4A
,,,,,,,LCE4A-4,LCE4A
,,,,,,,LCE5A-1,LCE5A
,,,,,,,LCE5A-2,LCE5A
,,,,,,,LCE5A-3,LCE5A
,,,,,,,LCE5A-4,LCE5A
,,,,,,,LCE6A-1,LCE6A
,,,,,,,LCE6A-2,LCE6A
,,,,,,,LCE6A-3,LCE6A
,,,,,,,LCE6A-4,LCE6A
,,,,,,,LCK-1,LCK
,,,,,,,LCK-2,LCK
,,,,,,,LCK-3,LCK
,,,,,,,LCK-4,LCK
,,,,,,,LCLAT1-1,LCLAT1
,,,,,,,LCLAT1-2,LCLAT1
,,,,,,,LCLAT1-3,LCLAT1
,,,,,,,LCLAT1-4,LCLAT1
,,,,,,,LCMT1-1,LCMT1
,,,,,,,LCMT1-2,LCMT1
,,,,,,,LCMT1-3,LCMT1
,,,,,,,LCMT1-4,LCMT1
,,,,,,,LCMT2-1,LCMT2
,,,,,,,LCMT2-2,LCMT2
,,,,,,,LCMT2-3,LCMT2
,,,,,,,LCMT2-4,LCMT2
,,,,,,,LCN1-1,LCN1
,,,,,,,LCN1-2,LCN1
,,,,,,,LCN1-3,LCN1
,,,,,,,LCN1-4,LCN1
,,,,,,,LCN10-1,LCN10
,,,,,,,LCN10-2,LCN10
,,,,,,,LCN10-3,LCN10
,,,,,,,LCN10-4,LCN10
,,,,,,,LCN12-1,LCN12
,,,,,,,LCN12-2,LCN12
,,,,,,,LCN12-3,LCN12
,,,,,,,LCN12-4,LCN12
,,,,,,,LCN15-1,LCN15
,,,,,,,LCN15-2,LCN15
,,,,,,,LCN15-3,LCN15
,,,,,,,LCN15-4,LCN15
,,,,,,,LCN2-1,LCN2
,,,,,,,LCN2-2,LCN2
