Essential,NonEssential,NonTargeting,BrunelloKinome,GuideID,GeneSymbol,BrunelloWholeGenome,GuideID.1,GeneSymbol.1
DGCR8,COX7B2,,,ADCK5-1,ADCK5,,ABCA10-1,ABCA10
DHODH,CPXCR1,,,ADCK5-2,ADCK5,,ABCA10-2,ABCA10
DHPS,CRNN,,,ADCK5-3,ADCK5,,ABCA10-3,ABCA10
DHX15,CRX,,,ADCK5-4,ADCK5,,ABCA10-4,ABCA10
DHX33,CRYGB,,,ADCK5-5,ADCK5,,ABCA12-1,ABCA12
DHX37,CSH1,,,ADCK5-6,ADCK5,,ABCA12-2,ABCA12
DHX8,CSHL1,,,ADCK5-7,ADCK5,,ABCA12-3,ABCA12
DHX9,CSN2,,,ADCK5-8,ADCK5,,ABCA12-4,ABCA12
DIEXF,CSN3,,,ADK-1,ADK,,ABCA13-1,ABCA13
DIMT1,CST11,,,ADK-2,ADK,,ABCA13-2,ABCA13
DIS3,CST4,,,ADK-3,ADK,,ABCA13-3,ABCA13
DKC1,CST5,,,ADK-4,ADK,,ABCA13-4,ABCA13
DLST,CST8,,,ADK-5,ADK,,ABCA2-1,ABCA2
DMAP1,CST9,,,ADK-6,ADK,,ABCA2-2,ABCA2
DNAJA3,CST9L,,,ADK-7,ADK,,ABCA2-3,ABCA2
DNAJC9,CSTL1,,,ADK-8,ADK,,ABCA2-4,ABCA2
DNM2,CT45A2,,,ADPGK-1,ADPGK,,ABCA3-1,ABCA3
DNMT1,CT45A4,,,ADPGK-2,ADPGK,,ABCA3-2,ABCA3
DOLK,CT45A5,,,ADPGK-3,ADPGK,,ABCA3-3,ABCA3
DONSON,CT47A11,,,ADPGK-4,ADPGK,,ABCA3-4,ABCA3
DPAGT1,CTCFL,,,ADPGK-5,ADPGK,,ABCA4-1,ABCA4
DTL,CTRB1,,,ADPGK-6,ADPGK,,ABCA4-2,ABCA4
DTYMK,CXorf1,,,ADPGK-7,ADPGK,,ABCA4-3,ABCA4
DYNC1I2,CXorf66,,,ADPGK-8,ADPGK,,ABCA4-4,ABCA4
ECD,CYLC2,,,ADRBK1-1,ADRBK1,,ABCA5-1,ABCA5
EEF2,CYP11B1,,,ADRBK1-2,ADRBK1,,ABCA5-2,ABCA5
EFTUD2,CYP11B2,,,ADRBK1-3,ADRBK1,,ABCA5-3,ABCA5
EIF2B1,CYP26C1,,,ADRBK1-4,ADRBK1,,ABCA5-4,ABCA5
EIF2B3,CYP2A13,,,ADRBK1-5,ADRBK1,,ABCA6-1,ABCA6
EIF2B5,CYP2C19,,,ADRBK1-6,ADRBK1,,ABCA6-2,ABCA6
EIF2S1,CYP4A22,,,ADRBK1-7,ADRBK1,,ABCA6-3,ABCA6
EIF2S2,CYP4F8,,,ADRBK1-8,ADRBK1,,ABCA6-4,ABCA6
EIF2S3,CYP7A1,,,ADRBK2-1,ADRBK2,,ABCA7-1,ABCA7
EIF3A,DAZ1,,,ADRBK2-2,ADRBK2,,ABCA7-2,ABCA7
EIF3B,DAZ2,,,ADRBK2-3,ADRBK2,,ABCA7-3,ABCA7
EIF3C,DAZ3,,,ADRBK2-4,ADRBK2,,ABCA7-4,ABCA7
EIF3D,DAZ4,,,ADRBK2-5,ADRBK2,,ABCA8-1,ABCA8
EIF3G,DAZL,,,ADRBK2-6,ADRBK2,,ABCA8-2,ABCA8
EIF3I,DCAF4L2,,,ADRBK2-7,ADRBK2,,ABCA8-3,ABCA8
EIF4A3,DCAF8L1,,,ADRBK2-8,ADRBK2,,ABCA8-4,ABCA8
EIF5A,DDI1,,,AGK-1,AGK,,ABCA9-1,ABCA9
EIF5B,DDX4,,,AGK-2,AGK,,ABCA9-2,ABCA9
EIF6,DEFA5,,,AGK-3,AGK,,ABCA9-3,ABCA9
ELAC2,DEFA6,,,AGK-4,AGK,,ABCA9-4,ABCA9
ELL,DEFB103B,,,AGK-5,AGK,,ABCB1-1,ABCB1
EPRS,DEFB104A,,,AGK-6,AGK,,ABCB1-2,ABCB1
ERCC2,DEFB106A,,,AGK-7,AGK,,ABCB1-3,ABCB1
ERCC3,DEFB107A,,,AGK-8,AGK,,ABCB1-4,ABCB1
ERH,DEFB118,,,AK1-1,AK1,,ABCB10-1,ABCB10
EXOSC2,DEFB123,,,AK1-2,AK1,,ABCB10-2,ABCB10
EXOSC3,DEFB126,,,AK1-3,AK1,,ABCB10-3,ABCB10
EXOSC4,DEFB127,,,AK1-4,AK1,,ABCB10-4,ABCB10
EXOSC6,DEFB129,,,AK1-5,AK1,,ABCB11-1,ABCB11
EXOSC7,DGAT2L6,,,AK1-6,AK1,,ABCB11-2,ABCB11
EXOSC8,DGKK,,,AK1-7,AK1,,ABCB11-3,ABCB11
FAM96B,DIRC1,,,AK1-8,AK1,,ABCB11-4,ABCB11
FARS2,DMP1,,,AK2-1,AK2,,ABCB4-1,ABCB4
FARSA,DMRT1,,,AK2-2,AK2,,ABCB4-2,ABCB4
FARSB,DMRTB1,,,AK2-3,AK2,,ABCB4-3,ABCB4
FAU,DMRTC2,,,AK2-4,AK2,,ABCB4-4,ABCB4
FNTA,DPCR1,,,AK2-5,AK2,,ABCB5-1,ABCB5
FNTB,DPRX,,,AK2-6,AK2,,ABCB5-2,ABCB5
FTSJ3,DRD3,,,AK2-7,AK2,,ABCB5-3,ABCB5
GABPA,DRGX,,,AK2-8,AK2,,ABCB5-4,ABCB5
GAPDH,DSCR4,,,AK3-1,AK3,,ABCB6-1,ABCB6
GART,DSG4,,,AK3-2,AK3,,ABCB6-2,ABCB6
GEMIN5,DSPP,,,AK3-3,AK3,,ABCB6-3,ABCB6
GEMIN8,DTX2,,,AK3-4,AK3,,ABCB6-4,ABCB6
GFM1,DUSP21,,,AK3-5,AK3,,ABCB7-1,ABCB7
GGPS1,DUX4,,,AK3-6,AK3,,ABCB7-2,ABCB7
GINS2,DUX4L7,,,AK3-7,AK3,,ABCB7-3,ABCB7
GINS3,DUXA,,,AK3-8,AK3,,ABCB7-4,ABCB7
GINS4,EFCAB3,,,AK4-1,AK4,,ABCB8-1,ABCB8
GMPPB,EGR4,,,AK4-2,AK4,,ABCB8-2,ABCB8
GMPS,ENTHD1,,,AK4-3,AK4,,ABCB8-3,ABCB8
GNB2L1,ESX1,,,AK4-4,AK4,,ABCB8-4,ABCB8
GNL3,EVX1,,,AK4-5,AK4,,ABCB9-1,ABCB9
GPN3,F13B,,,AK4-6,AK4,,ABCB9-2,ABCB9
GPS1,F9,,,AK4-7,AK4,,ABCB9-3,ABCB9
GRPEL1,FABP2,,,AK4-8,AK4,,ABCB9-4,ABCB9
GRWD1,FAM106A,,,AK5-1,AK5,,ABCC1-1,ABCC1
GSPT1,FAM47A,,,AK5-2,AK5,,ABCC1-2,ABCC1
GTF2B,FAM47B,,,AK5-3,AK5,,ABCC1-3,ABCC1
GTF2H1,FAM47C,,,AK5-4,AK5,,ABCC1-4,ABCC1
GTF2H2C,FAM71A,,,AK5-5,AK5,,ABCC10-1,ABCC10
GTF2H4,FAM71B,,,AK5-6,AK5,,ABCC10-2,ABCC10
GTF3A,FAM71C,,,AK5-7,AK5,,ABCC10-3,ABCC10
GTF3C1,FAM75A7,,,AK5-8,AK5,,ABCC10-4,ABCC10
GTF3C2,FAM75D1,,,AK7-1,AK7,,ABCC11-1,ABCC11
GTF3C5,FCRL4,,,AK7-2,AK7,,ABCC11-2,ABCC11
GTPBP4,FEZF1,,,AK7-3,AK7,,ABCC11-3,ABCC11
GUK1,FEZF2,,,AK7-4,AK7,,ABCC11-4,ABCC11
HARS,FFAR1,,,AK7-5,AK7,,ABCC12-1,ABCC12
HAUS1,FGF3,,,AK7-6,AK7,,ABCC12-2,ABCC12
HAUS5,FGF4,,,AK7-7,AK7,,ABCC12-3,ABCC12
HCFC1,FGF6,,,AK7-8,AK7,,ABCC12-4,ABCC12
HDAC3,FIGLA,,,AK8-1,AK8,,ABCC2-1,ABCC2
HEATR1,FLG2,,,AK8-2,AK8,,ABCC2-2,ABCC2
HINFP,FMR1NB,,,AK8-3,AK8,,ABCC2-3,ABCC2
HIST1H2AJ,FNDC7,,,AK8-4,AK8,,ABCC2-4,ABCC2
HIST2H2AA3,FNDC9,,,AK8-5,AK8,,ABCC3-1,ABCC3
HJURP,FOXB1,,,AK8-6,AK8,,ABCC3-2,ABCC3
HNRNPC,FOXB2,,,AK8-7,AK8,,ABCC3-3,ABCC3
HNRNPK,FOXD4L3,,,AK8-8,AK8,,ABCC3-4,ABCC3
HNRNPL,FOXD4L4,,,AK9-1,AK9,,ABCC4-1,ABCC4
HNRNPU,FOXE3,,,AK9-2,AK9,,ABCC4-2,ABCC4
HSD17B10,FOXN1,,,AK9-3,AK9,,ABCC4-3,ABCC4
HSPA9,FOXR1,,,AK9-4,AK9,,ABCC4-4,ABCC4
HSPD1,FRG2,,,AK9-5,AK9,,ABCC5-1,ABCC5
HUWE1,FRMD7,,,AK9-6,AK9,,ABCC5-2,ABCC5
HYPK,FSCB,,,AK9-7,AK9,,ABCC5-3,ABCC5
IARS,FUT5,,,AK9-8,AK9,,ABCC5-4,ABCC5
IGBP1,FUT9,,,AKT1-1,AKT1,,ABCC6-1,ABCC6
ILF3,G6PC,,,AKT1-2,AKT1,,ABCC6-2,ABCC6
IMP3,GABRA1,,,AKT1-3,AKT1,,ABCC6-3,ABCC6
IMP4,GABRA6,,,AKT1-4,AKT1,,ABCC6-4,ABCC6
INTS1,GAGE1,,,AKT1-5,AKT1,,ABCC8-1,ABCC8
INTS3,GAGE2C,,,AKT1-6,AKT1,,ABCC8-2,ABCC8
INTS8,GALNTL5,,,AKT1-7,AKT1,,ABCC8-3,ABCC8
INTS9,GALR1,,,AKT1-8,AKT1,,ABCC8-4,ABCC8
IPO13,GALR3,,,AKT2-1,AKT2,,ABCC9-1,ABCC9
ISCU,GBP7,,,AKT2-2,AKT2,,ABCC9-2,ABCC9
ISG20L2,GCG,,,AKT2-3,AKT2,,ABCC9-3,ABCC9
KANSL3,GCM2,,,AKT2-4,AKT2,,ABCC9-4,ABCC9
KARS,GDF2,,,AKT2-5,AKT2,,ABCD1-1,ABCD1
KAT8,GFRA4,,,AKT2-6,AKT2,,ABCD1-2,ABCD1
KIF11,GFRAL,,,AKT2-7,AKT2,,ABCD1-3,ABCD1
KIF23,GH2,,,AKT2-8,AKT2,,ABCD1-4,ABCD1
KPNB1,GHRH,,,AKT3-1,AKT3,,ABCD2-1,ABCD2
KRI1,GHSR,,,AKT3-2,AKT3,,ABCD2-2,ABCD2
KRR1,GIF,,,AKT3-3,AKT3,,ABCD2-3,ABCD2
LARS,GJA10,,,AKT3-4,AKT3,,ABCD2-4,ABCD2
LAS1L,GJA8,,,AKT3-5,AKT3,,ABCD3-1,ABCD3
LONP1,GK2,,,AKT3-6,AKT3,,ABCD3-2,ABCD3
LRR1,GKN2,,,AKT3-7,AKT3,,ABCD3-3,ABCD3
LSG1,GLRA1,,,AKT3-8,AKT3,,ABCD3-4,ABCD3
LSM11,GLRA2,,,ALDH18A1-1,ALDH18A1,,ABCD4-1,ABCD4
LSM12,GLT6D1,,,ALDH18A1-2,ALDH18A1,,ABCD4-2,ABCD4
LSM2,GML,,,ALDH18A1-3,ALDH18A1,,ABCD4-3,ABCD4
LSM7,GOLGA6L2,,,ALDH18A1-4,ALDH18A1,,ABCD4-4,ABCD4
LUC7L3,GOT1L1,,,ALDH18A1-5,ALDH18A1,,ABCE1-1,ABCE1
MAD2L1,GPR101,,,ALDH18A1-6,ALDH18A1,,ABCE1-2,ABCE1
MAGOH,GPR111,,,ALDH18A1-7,ALDH18A1,,ABCE1-3,ABCE1
MAK16,GPR119,,,ALDH18A1-8,ALDH18A1,,ABCE1-4,ABCE1
MARS,GPR128,,,ALK-1,ALK,,ABCF1-1,ABCF1
MARS2,GPR139,,,ALK-2,ALK,,ABCF1-2,ABCF1
MASTL,GPR144,,,ALK-3,ALK,,ABCF1-3,ABCF1
MCM3,GPR148,,,ALK-4,ALK,,ABCF1-4,ABCF1
MCM3AP,GPR151,,,ALK-5,ALK,,ABCF2-1,ABCF2
MCM4,GPR152,,,ALK-6,ALK,,ABCF2-2,ABCF2
MCM5,GPR26,,,ALK-7,ALK,,ABCF2-3,ABCF2
MCM7,GPR31,,,ALK-8,ALK,,ABCF2-4,ABCF2
MDN1,GPR32,,,ALPK1-1,ALPK1,,ABCF3-1,ABCF3
MED11,GPR45,,,ALPK1-2,ALPK1,,ABCF3-2,ABCF3
MED12,GPR50,,,ALPK1-3,ALPK1,,ABCF3-3,ABCF3
MED18,GPR52,,,ALPK1-4,ALPK1,,ABCF3-4,ABCF3
MED27,GPR78,,,ALPK1-5,ALPK1,,ABCG1-1,ABCG1
MED30,GPRC6A,,,ALPK1-6,ALPK1,,ABCG1-2,ABCG1
MEPCE,GPX5,,,ALPK1-7,ALPK1,,ABCG1-3,ABCG1
METTL16,GPX6,,,ALPK1-8,ALPK1,,ABCG1-4,ABCG1
MMS22L,GRK1,,,ALPK2-1,ALPK2,,ABCG2-1,ABCG2
MPHOSPH10,GRM4,,,ALPK2-2,ALPK2,,ABCG2-2,ABCG2
MRP63,GRM5,,,ALPK2-3,ALPK2,,ABCG2-3,ABCG2
MRPL18,GRM6,,,ALPK2-4,ALPK2,,ABCG2-4,ABCG2
MRPL28,GSC2,,,ALPK2-5,ALPK2,,ABCG4-1,ABCG4
MRPL38,GSTA5,,,ALPK2-6,ALPK2,,ABCG4-2,ABCG4
MRPL4,GSX1,,,ALPK2-7,ALPK2,,ABCG4-3,ABCG4
MRPL43,GSX2,,,ALPK2-8,ALPK2,,ABCG4-4,ABCG4
MRPL45,GUCA2A,,,ALPK3-1,ALPK3,,ABCG5-1,ABCG5
MRPL46,GUCY2F,,,ALPK3-2,ALPK3,,ABCG5-2,ABCG5
MRPL53,H1FOO,,,ALPK3-3,ALPK3,,ABCG5-3,ABCG5
MRPS14,H2BFM,,,ALPK3-4,ALPK3,,ABCG5-4,ABCG5
MRPS24,H2BFWT,,,ALPK3-5,ALPK3,,ABCG8-1,ABCG8
MRPS34,HAO1,,,ALPK3-6,ALPK3,,ABCG8-2,ABCG8
MSTO1,HCRTR2,,,ALPK3-7,ALPK3,,ABCG8-3,ABCG8
MTG2,HDGFL1,,,ALPK3-8,ALPK3,,ABCG8-4,ABCG8
MVK,HHLA1,,,AMHR2-1,AMHR2,,ABHD1-1,ABHD1
MYBBP1A,HIST1H2AA,,,AMHR2-2,AMHR2,,ABHD1-2,ABHD1
MYC,HIST1H2BA,,,AMHR2-3,AMHR2,,ABHD1-3,ABHD1
NAA10,HIST1H4G,,,AMHR2-4,AMHR2,,ABHD1-4,ABHD1
NAA38,HMX1,,,AMHR2-5,AMHR2,,ABHD10-1,ABHD10
NAA50,HOXB1,,,AMHR2-6,AMHR2,,ABHD10-2,ABHD10
NAMPT,HOXD12,,,AMHR2-7,AMHR2,,ABHD10-3,ABHD10
NAPA,HRG,,,AMHR2-8,AMHR2,,ABHD10-4,ABHD10
NARFL,HRH3,,,ANKK1-1,ANKK1,,ABHD11-1,ABHD11
NARS,HSFY1,,,ANKK1-2,ANKK1,,ABHD11-2,ABHD11
NAT10,HSFY2,,,ANKK1-3,ANKK1,,ABHD11-3,ABHD11
NCBP1,HTN3,,,ANKK1-4,ANKK1,,ABHD11-4,ABHD11
NCBP2,HTR1A,,,ANKK1-5,ANKK1,,ABHD12-1,ABHD12
NDC80,HTR2C,,,ANKK1-6,ANKK1,,ABHD12-2,ABHD12
NDUFA13,HTR3C,,,ANKK1-7,ANKK1,,ABHD12-3,ABHD12
NEDD8,HTR3D,,,ANKK1-8,ANKK1,,ABHD12-4,ABHD12
NELFB,HTR3E,,,ARAF-1,ARAF,,ABHD12B-1,ABHD12B
NHP2,HTR5A,,,ARAF-2,ARAF,,ABHD12B-2,ABHD12B
NHP2L1,HTR6,,,ARAF-3,ARAF,,ABHD12B-3,ABHD12B
NIP7,IAPP,,,ARAF-4,ARAF,,ABHD12B-4,ABHD12B
NKAP,IFIT1B,,,ARAF-5,ARAF,,ABHD13-1,ABHD13
NLE1,IFNA10,,,ARAF-6,ARAF,,ABHD13-2,ABHD13
NMD3,IFNA14,,,ARAF-7,ARAF,,ABHD13-3,ABHD13
NMT1,IFNA16,,,ARAF-8,ARAF,,ABHD13-4,ABHD13
NOC4L,IFNA17,,,ARSG-1,ARSG,,ABHD14A-1,ABHD14A
NOL10,IFNA2,,,ARSG-2,ARSG,,ABHD14A-2,ABHD14A
NOL11,IFNA21,,,ARSG-3,ARSG,,ABHD14A-3,ABHD14A
NOL6,IFNA4,,,ARSG-4,ARSG,,ABHD14A-4,ABHD14A
NOL9,IFNA5,,,ARSG-5,ARSG,,ABHD14B-1,ABHD14B
NOP16,IFNA6,,,ARSG-6,ARSG,,ABHD14B-2,ABHD14B
NOP2,IFNA7,,,ARSG-7,ARSG,,ABHD14B-3,ABHD14B
NOP56,IFNA8,,,ARSG-8,ARSG,,ABHD14B-4,ABHD14B
NOP9,IFNB1,,,ATM-1,ATM,,ABHD15-1,ABHD15
